default,student,balance,income
No,No,729.5264952073,44361.6250742669
No,Yes,817.1804065555,12106.1347003149
No,No,1073.5491640117,31767.1389473999
No,No,529.2506047453,35704.4939350781
No,No,785.6558829305,38463.4958787229
No,Yes,919.5885304745,7491.5585718275
No,Yes,808.6675042973,17600.4513435869
No,No,1161.0578540313,37468.5292875375
No,No,0,29275.2682931678
No,Yes,0,21871.0730892776
No,Yes,1220.5837530038,13268.5622209261
No,No,606.7423433025,44994.5558492173
No,No,286.2325601392,45042.4130358855
No,No,0,50265.3123535985
No,Yes,527.5401840746,17636.5396172936
No,No,485.9368641717,61566.106117801
No,No,228.9525496426,50500.1821977441
No,No,954.2617927735,32457.5090750754
No,No,1055.956604729,51317.8830823874
No,No,641.984388848,30466.1032574814
No,No,773.2117245342,34353.3143050038
No,No,642.9997385154,41473.5118010187
No,No,1454.863272484,32189.0949523178
No,No,615.7042765604,39376.3946187014
No,Yes,1119.5693533287,16556.0702053511
No,No,494.8162288073,54384.7828361386
No,Yes,448.880656256,15799.4704097956
No,Yes,584.9048946825,22429.9350462168
No,No,913.5871726089,46907.2254028623
No,Yes,1423.9389166409,22634.4880875812
No,Yes,1499.7246565597,13190.6527164103
No,No,692.0341670654,47806.6117728963
No,No,351.453471523,35087.4886480858
No,No,742.6276207856,37864.8239388952
No,No,653.1184001234,39489.5947028613
No,No,872.1386795385,41787.5672689012
No,No,837.2626227542,51471.7720946377
No,No,1151.6305660827,42917.4695636282
No,Yes,220.5556083864,16872.9475557814
No,Yes,1690.234410387,19052.5722246955
No,No,408.7729143052,54206.9392120179
No,No,1238.6103212411,50066.6805336538
No,No,1228.3083503534,37408.5038685076
No,No,820.9192041462,47746.5420731016
No,No,857.4851177765,31688.3459738919
No,No,563.6181771824,42641.253266646
No,Yes,1282.9725335958,13120.6364696027
No,Yes,1505.7826748288,26557.1414458808
No,Yes,904.0402590668,16882.3006056535
No,No,0,49956.580571906
No,Yes,1294.4973466731,10464.3207319231
No,Yes,1275.5506327236,15887.4684867774
No,No,1536.5946009725,48766.9074575615
No,No,1332.522643867,39143.1370690178
No,No,492.0797678154,33379.0946028395
No,No,766.2343793039,46478.2942569524
No,No,690.1272462,63432.9842544674
No,No,0,32481.5400461151
No,No,1480.6553092627,36866.1570686848
No,No,989.0555969753,45344.2513202648
No,No,1302.3418351686,33695.4262332636
No,No,1044.5523432847,54696.7659816226
No,No,0,43658.2277239957
No,No,866.028436368,38363.4216347118
No,No,690.8007923541,48140.471335995
No,No,597.7571420171,31577.6151255677
No,No,429.4854023063,51311.218101023
No,No,1398.1562014833,39644.9421931896
No,Yes,1578.0640985399,19886.4939515168
No,Yes,752.4599459588,16211.2757881826
No,Yes,774.7384269639,15193.733135525
No,No,728.3732513026,45131.718264691
No,No,196.4569131362,41346.78591324
No,Yes,948.7479183886,14297.6190485513
No,No,431.9208853042,39369.8815631008
No,No,461.6381822338,46221.2114948234
No,No,572.0157602306,33046.3129575033
No,No,335.5681447332,51258.4442299621
No,No,510.2375931564,60397.7186486948
No,Yes,1005.1613055558,24038.6520433118
No,Yes,162.4544510866,13241.7520600759
No,No,932.5331556823,50537.4656484602
No,Yes,893.3304676123,11905.6817925484
No,No,1332.7825635257,44495.1627629054
No,No,1404.3830694522,35043.1060286742
No,Yes,1148.9651391593,16578.1921184729
No,No,368.2234257205,57596.8258431935
No,No,449.4666287693,45950.6667238686
No,No,820.0171125784,51584.6573183834
No,Yes,619.7518685756,15750.6220834222
No,No,1047.7181240096,46416.9709942419
No,No,243.8413283258,47193.8881309706
No,No,186.5003869315,45430.5502710943
No,No,1422.0184875758,38224.0315214972
No,No,383.7986590057,61425.286388114
No,No,1159.4350960886,45802.1049386909
